,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume
2021-02-01 12:00:00,34183.33,34460.0,33160.0,33160.17,17478.706597,,,,,,13057.6,13096.1,13035.7,13059.6,0.0
2021-02-01 16:00:00,33160.0,34100.0,33133.26,33838.13,9133.519374,,,,,,13059.6,13268.3,12974.1,13266.8,0.0
2021-02-01 20:00:00,33838.13,34039.0,33430.76,33526.37,6559.68151,,,,,,13266.8,13282.6,13219.8,13238.2,0.0
2021-02-02 00:00:00,33517.09,34161.39,33418.0,33550.32,9103.943225,,,,,,13239.9,13350.6,13237.6,13343.8,0.0
2021-02-02 04:00:00,33554.08,34400.0,33500.0,34223.38,10429.385997,,,,,,13343.8,13382.5,13315.9,13342.0,0.0
2021-02-02 08:00:00,34223.38,35668.1,34080.0,34720.15,22068.658748,,,,,,13341.4,13390.3,13312.8,13378.3,0.0
2021-02-02 12:00:00,34722.97,35200.0,34333.0,34708.47,12709.434507,,,,,,13378.5,13387.4,13338.6,13365.5,0.0
2021-02-02 16:00:00,34708.47,35800.0,34556.85,35762.03,13461.671642,,,,,,13365.5,13483.1,13342.0,13472.9,0.0
2021-02-02 20:00:00,35762.05,35984.33,35466.0,35466.24,10283.565761,,,,,,13473.6,13518.8,13420.6,13508.4,0.0
2021-02-03 00:00:00,35472.71,36500.0,35362.38,36403.47,13559.347093,,,,,,13513.4,13546.7,13489.8,13524.5,0.0
2021-02-03 04:00:00,36403.47,36845.0,36231.66,36297.57,11921.875849,,,,,,13524.2,13558.9,13503.8,13557.1,0.0
2021-02-03 08:00:00,36297.58,36299.98,35511.0,35969.41,13023.209147,,,,,,13557.1,13596.1,13525.9,13531.9,0.0
